Timestamp,Which course are you currently enrolled in?,What motivated you to seek a computing class at CCM?,"Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Open House]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Instant Decision Day]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [On-Campus Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Virtual Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Women Who Dare]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Regional College Fair]",To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Middle/High school computing class],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Middle/High school computing related club],"To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Computing-related competitions (e.g., Robotics competition, Lego competition, Cybersecurity, Programming)]",To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Afterschool computing-related camp/program],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Summer computing related camp/program],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [An AP computing class],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [A dual enrollment computing class],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Family or friend influence],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Family or friend working in the computing field],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [High school teacher or guidance counselor],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Employer influence],How did you hear about County College of Morris (check all that apply)?,To what extent did the following impact your decision to attend County College of Morris? [Affordable cost],To what extent did the following impact your decision to attend County College of Morris? [Location/convenience],To what extent did the following impact your decision to attend County College of Morris? [Choice of programs],To what extent did the following impact your decision to attend County College of Morris? [Online offerings],To what extent did the following impact your decision to attend County College of Morris? [Family/friend referral],To what extent did the following impact your decision to attend County College of Morris? [Faculty/staff],To what extent did the following impact your decision to attend County College of Morris? [College reputation],To what extent did the following impact your decision to attend County College of Morris? [Scholarships],To what extent did the following impact your decision to attend County College of Morris? [Transfer student],To what extent did the following impact your decision to attend County College of Morris? [Small class sizes],To what extent did the following impact your decision to attend County College of Morris? [Extra curricula opportunities],What degree program are you currently enrolled in?,Did you receive information about our computing course from any of the following sources? [High school guidance counselor],Did you receive information about our computing course from any of the following sources? [CCM Information Technologies Website],Did you receive information about our computing course from any of the following sources? [CCM Admissions],Did you receive information about our computing course from any of the following sources? [CCM advisor/counselor],Did you receive information about our computing course from any of the following sources? [Employer],Did you receive information about our computing course from any of the following sources? [Other],"On a scale of 1 to 5, with 1 being not at all interested and 5 being extremely interested, how interested are you taking more courses in Computer Science, Information Technology or Game Development?","If you answered that you were interested in taking more computing classes, which ones interest you most? (check all that apply)",Gender,Race/ethnicity,Age ,,,,
9/14/2020 23:17:29,CMP 135 Computer Concepts with Applications,It’s a required class for the degree I’m seeking,Yes,No,No,No,No,No,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Web site,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,Yes,No,No,No,No,No,4,Computer Programming,Man,Hispanic or Latino,19-20,,,,
9/15/2020 10:42:37,CMP 135 Computer Concepts with Applications,It’s a required class for the degree I’m seeking,No,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Family member or friend, Current student, High School",Some Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,High Impact,Some Impact,High Impact,High Impact,Some Impact,Criminal Justice,No,No,No,No,No,No,1,,Woman,White/Caucasian,19-20,,,,
9/15/2020 12:11:35,CMP 135 Computer Concepts with Applications,"It’s a required class for the degree I’m seeking, To keep current in computing skills, Career Advancement, Career Change, Job Displacement, Personal Enrichment, Curiosity",Yes,No,Not Sure,Not Sure,Not Sure,Yes,High Impact,Some Impact,Some Impact,High Impact,N/A,N/A,N/A,No Impact,Some Impact,High Impact,N/A,"Web site, Billboard, Television, Social Media, Family member or friend",High Impact,High Impact,High Impact,N/A,Some Impact,Some Impact,High Impact,No Impact,No Impact,N/A,High Impact,Music Technology,Don't recall,Don't recall,Yes,Yes,No,Don't recall,5,"Web Development, App Development, Data Analytics, Computer Programming, Game Design",Man,White/Caucasian,19-20,,,,
9/15/2020 12:20:44,CMP 135 Computer Concepts with Applications,It’s a required class for the degree I’m seeking,Yes,No,No,No,No,No,No Impact,N/A,N/A,N/A,N/A,N/A,N/A,No Impact,No Impact,No Impact,No Impact,"Family member or friend, Current student, High School",Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,N/A,Some Impact,Some Impact,Criminal Justice,No,Don't recall,Don't recall,Don't recall,No,No,2,,Woman,White/Caucasian,19-20,,,,
9/15/2020 12:22:05,CMP 135 Computer Concepts with Applications,It’s a required class for the degree I’m seeking,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,Some Impact,"Family member or friend, High School",Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Culinary Arts and Science ,No,No,No,No,No,Yes,4,,Woman,White/Caucasian,19-20,,,,
9/15/2020 12:34:10,CMP 101 Computer Information Literacy,"It’s a required class for the degree I’m seeking, To keep current in computing skills, Career Advancement, Career Change, Professional Development, Curiosity",No,No,Yes,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,"Web site, Billboard, Television, Radio, Social Media, Community Event, Family member or friend, Employer, Current student, Alumni, High School",High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Criminal Justice,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,2,"CyberSecurity, Game Design",Man,White/Caucasian,19-20,,,,
9/15/2020 13:02:14,CMP 101 Computer Information Literacy,It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Web site, Billboard, Television, Family member or friend",Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,fashion design  ,No,No,No,Yes,No,No,3,App Development,Woman,Black/African American,25-34,,,,
9/15/2020 13:26:05,CMP 101 Computer Information Literacy,Career Advancement,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,"Family member or friend, High School",High Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Not in a degree program,No,No,No,No,No,No,1,,Man,White/Caucasian,21-24,,,,
9/15/2020 14:43:52,CMP 135 Computer Concepts with Applications,"It’s a required class for the degree I’m seeking, To keep current in computing skills",No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High School,High Impact,High Impact,High Impact,No Impact,Some Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,Criminal Justice,No,No,No,Yes,No,No,1,,Man,White/Caucasian,21-24,,,,
9/15/2020 14:51:31,CMP 135 Computer Concepts with Applications,It’s a required class for the degree I’m seeking,No,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Alumni,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,High Impact,No Impact,High Impact,No Impact,Exercise Science,No,No,No,Yes,No,No,1,Web Development,Woman,White/Caucasian,25-34,,,,
9/15/2020 15:07:02,CMP 126 Computer Technology and Applications,It’s a required class for the degree I’m seeking,No,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Family member or friend,High Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,High Impact,N/A,N/A,N/A,N/A,Communication,No,No,No,No,No,No,1,,Woman,White/Caucasian,21-24,,,,
9/15/2020 16:23:48,CMP 135 Computer Concepts with Applications,It’s a required class for the degree I’m seeking,No,No,No,No,No,Yes,Some Impact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Web site, Billboard, Social Media, Family member or friend, Current student, High School",High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Mathematics,No,No,Yes,Yes,No,Don't recall,2,Web Development,Woman,White/Caucasian,19-20,,,,
9/15/2020 17:05:33,CMP 126 Computer Technology and Applications,It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High School,High Impact,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,Human Services,No,No,No,Yes,No,No,2,,Woman,White/Caucasian,21-24,,,,
9/15/2020 17:20:04,CMP 135 Computer Concepts with Applications,"It’s a required class for the degree I’m seeking, To keep current in computing skills",Yes,Not Sure,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Family member or friend, Employer, Current student, Alumni, High School",Some Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Criminal Justice,No,No,No,Yes,No,No,1,CyberSecurity,Woman,White/Caucasian,18 and younger,,,,
9/15/2020 21:44:11,CMP 135 Computer Concepts with Applications,It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Early Childhood Education,No,No,No,No,No,No,1,,Woman,White/Caucasian,19-20,,,,
9/15/2020 22:46:52,CMP 135 Computer Concepts with Applications,"It’s a required class for the degree I’m seeking, Personal Enrichment, Curiosity",No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,"Web site, Billboard, Current student, Alumni, High School",High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Radiography,No,No,No,No,No,No,3,"CyberSecurity, App Development, Game Design",Woman,White/Caucasian,21-24,,,,
9/16/2020 2:11:50,CMP 135 Computer Concepts with Applications,"It’s a required class for the degree I’m seeking, To keep current in computing skills, Professional Development, Technology is so prevalent these days. And i am looking to enter into the nursing and radiography fields. Tech has become a mainstay in both but knowledge working with computers is especially needed in radiography. I feel it is good for me to keep up with the changing world of technology ",No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,"Web site, i had attendend ccm years ago right out of high school. I grew up in the area and always knew of the school",No Impact,Some Impact,High Impact,Some Impact,No Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,"Radiography, Nursing",No,No,No,No,No,Yes,4,"CyberSecurity, Machine Learning/Artificial Intelligence",Woman,White/Caucasian,35-64,,,,
9/16/2020 15:45:09,CMP 135 Computer Concepts with Applications,"It’s a required class for the degree I’m seeking, To keep current in computing skills",Not Sure,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,"Web site, Billboard, Social Media, Community Event, Family member or friend, High School",High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Physical Education ,No,No,Yes,Yes,No,No,1,Game Design,Woman,White/Caucasian,18 and younger,,,,
9/16/2020 16:45:32,CMP 135 Computer Concepts with Applications,It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,"Web site, Radio, Community Event, Family member or friend, Employer, Current student, Alumni, High School",High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Public Health,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,2,,Woman,White/Caucasian,19-20,,,,
9/16/2020 17:38:35,CMP 126 Computer Technology and Applications,It’s a required class for the degree I’m seeking,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,"Family member or friend, Current student, Alumni, High School",High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,Child and Family Studies,No,No,No,Yes,No,No,2,,Woman,Hispanic or Latino,21-24,,,,
9/16/2020 20:10:20,CMP 135 Computer Concepts with Applications,It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,N/A,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Current student,High Impact,High Impact,High Impact,High Impact,N/A,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Exercise Science,No,No,No,Yes,No,No,3,,Woman,White/Caucasian,35-64,,,,
9/17/2020 18:05:04,CMP 135 Computer Concepts with Applications,"It’s a required class for the degree I’m seeking, To keep current in computing skills",No,No,No,No,No,No,No Impact,N/A,No Impact,N/A,N/A,N/A,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,"Family member or friend, Current student, Alumni, High School",High Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Exercise Science,No,No,Don't recall,Yes,No,Don't recall,1,,Woman,White/Caucasian,19-20,,,,
9/17/2020 18:10:06,CMP 135 Computer Concepts with Applications,"It’s a required class for the degree I’m seeking, To keep current in computing skills",No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,"Community Event, Family member or friend, Current student, Alumni, High School",Some Impact,No Impact,Some Impact,No Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,Exercise Science,No,No,No,Yes,No,Don't recall,1,,Woman,White/Caucasian,19-20,,,,
9/17/2020 18:12:00,CMP 126 Computer Technology and Applications,Personal Enrichment,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Web site,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Criminal Justice,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,4,CyberSecurity,Man,White/Caucasian,65+,,,,
9/18/2020 12:03:03,CMP 135 Computer Concepts with Applications,It’s a required class for the degree I’m seeking,Yes,Yes,Yes,No,No,Yes,Some Impact,N/A,N/A,N/A,N/A,N/A,N/A,Some Impact,Some Impact,N/A,High Impact,"Web site, Community Event, Family member or friend, High School",High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Criminal Justice,No,No,No,No,No,No,3,"CyberSecurity, Computer Programming, Game Design",Man,Hispanic or Latino,19-20,,,,
9/18/2020 17:15:34,CMP 135 Computer Concepts with Applications,It’s a required class for the degree I’m seeking,Yes,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Some Impact,Some Impact,N/A,N/A,"Web site, Family member or friend, High School",High Impact,High Impact,High Impact,Some Impact,High Impact,N/A,Some Impact,No Impact,High Impact,No Impact,No Impact,Radiography,No,Don't recall,Don't recall,Yes,No,No,3,Computer Programming,Woman,Hispanic or Latino,21-24,,,,
9/19/2020 20:53:37,CMP 126 Computer Technology and Applications,It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Family member or friend, High School",Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Culinary arts and science ,No,No,No,No,No,Yes,2,,Woman,White/Caucasian,19-20,,,,
9/19/2020 23:19:13,CMP 101 Computer Information Literacy,It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,Nursing,No,No,No,No,No,No,1,,Woman,White/Caucasian,35-64,,,,
9/20/2020 10:47:05,CMP 126 Computer Technology and Applications,"It’s a required class for the degree I’m seeking, To keep current in computing skills",Yes,Yes,Yes,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,"Web site, Family member or friend, Current student, Alumni, High School",High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,Broadcasting Arts and Technology,No,Yes,Yes,Yes,No,No,2,,Man,White/Caucasian,21-24,,,,
9/20/2020 14:41:15,CMP 135 Computer Concepts with Applications,It’s a required class for the degree I’m seeking,Yes,Not Sure,Yes,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High School,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,Some Impact,Radiography,Yes,Don't recall,Yes,Yes,No,No,1,Game Design,Woman,Multi-Racial,19-20,,,,
9/20/2020 17:53:43,CMP 101 Computer Information Literacy,It’s a required class for the degree I’m seeking,No,No,Yes,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,"Web site, High School",High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,Biology,No,Yes,Yes,No,No,No,4,"Web Development, Computer Programming",Woman,White/Caucasian,21-24,,,,
9/20/2020 18:57:19,CMP 135 Computer Concepts with Applications,It’s a required class for the degree I’m seeking,No,No,Not Sure,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Family member or friend, High School",High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,N/A,High Impact,N/A,Radiography,No,No,No,No,No,No,1,,Woman,Hispanic or Latino,19-20,,,,
9/20/2020 23:35:45,CMP 126 Computer Technology and Applications,"It’s a required class for the degree I’m seeking, Personal Enrichment, Curiosity",No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,"Social Media, Family member or friend, High School",No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Journalism,No,No,Yes,Yes,No,No,2,,Woman,White/Caucasian,19-20,,,,
9/21/2020 0:00:39,CMP 126 Computer Technology and Applications,It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Family member or friend, High School",High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,Don't recall,No,No,Don't recall,No,No,1,,Man,"Hispanic or Latino, Multi-Racial",19-20,,,,
9/21/2020 0:21:11,CMP 101 Computer Information Literacy,"It’s a required class for the degree I’m seeking, To keep current in computing skills, Personal Enrichment",No,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High Impact,No Impact,Some Impact,High Impact,"Billboard, Family member or friend, Current student, High School",High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Nursing,No,No,Yes,Yes,No,No,1,,Prefer not to say,Choose not to reply,19-20,,,,
9/21/2020 0:27:33,CMP 101 Computer Information Literacy,"It’s a required class for the degree I’m seeking, To keep current in computing skills, Personal Enrichment",No,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Some Impact,No Impact,N/A,Some Impact,"Billboard, Family member or friend, Current student, High School",High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Nursing,No,No,Yes,Yes,Don't recall,Don't recall,1,,Prefer not to say,Choose not to reply,19-20,,,,
9/21/2020 6:52:41,CMP 126 Computer Technology and Applications,Curiosity,No,No,No,No,No,No,Some Impact,N/A,Some Impact,N/A,N/A,N/A,N/A,High Impact,Some Impact,High Impact,N/A,"Family member or friend, High School",Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,N/A,No Impact,N/A,Not in a degree program,Yes,No,No,No,No,Yes,3,"App Development, Computer Programming, Game Design",Woman,White/Caucasian,18 and younger,,,,
9/21/2020 9:20:33,CMP 101 Computer Information Literacy,It’s a required class for the degree I’m seeking,No,No,No,Yes,No,Not Sure,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Web site, Family member or friend",Some Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Nursing,No,No,No,No,No,No,2,,Woman,White/Caucasian,25-34,,,,
9/21/2020 9:21:11,CMP 101 Computer Information Literacy,It’s a required class for the degree I’m seeking,No,No,No,Yes,No,Not Sure,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Web site, Family member or friend",Some Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Nursing,No,No,No,No,No,No,2,,Woman,White/Caucasian,25-34,,,,
9/21/2020 9:55:07,CMP 101 Computer Information Literacy,It’s a required class for the degree I’m seeking,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Billboard, Family member or friend, Current student, High School",High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,Nursing,No,No,No,No,No,No,1,,Woman,White/Caucasian,21-24,,,,
9/21/2020 10:26:33,CMP 126 Computer Technology and Applications,"To keep current in computing skills, Career Advancement, Professional Development, Curiosity",Not Sure,Not Sure,Not Sure,Not Sure,No,Not Sure,No Impact,N/A,N/A,N/A,No Impact,N/A,N/A,High Impact,N/A,N/A,High Impact,Family member or friend,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Not in a degree program,No,Don't recall,Don't recall,No,No,Yes,3,Game Design,Prefer not to say,Choose not to reply,25-34,,,,
9/21/2020 10:43:33,CMP 126 Computer Technology and Applications,"It’s a required class for the degree I’m seeking, To keep current in computing skills, Personal Enrichment",No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,"Web site, Social Media, Family member or friend, High School",High Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,High Impact,High Impact,No Impact,Business Administration,No,Yes,No,No,No,No,2,,Man,White/Caucasian,19-20,,,,
9/21/2020 11:08:31,CMP 126 Computer Technology and Applications,It’s a required class for the degree I’m seeking,No,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Social Media, Family member or friend, High School",High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Criminal Justice,Don't recall,Yes,Yes,No,No,No,2,,Woman,White/Caucasian,18 and younger,,,,
9/21/2020 11:08:46,CMP 126 Computer Technology and Applications,It’s a required class for the degree I’m seeking,No,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Social Media, Family member or friend, High School",High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Criminal Justice,Don't recall,Yes,Yes,No,No,No,2,,Woman,White/Caucasian,18 and younger,,,,
9/21/2020 14:09:00,CMP 135 Computer Concepts with Applications,"It’s a required class for the degree I’m seeking, To keep current in computing skills",No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Nursing,No,No,Yes,No,No,No,1,,Man,Hispanic or Latino,21-24,,,,
9/21/2020 14:19:38,CMP 126 Computer Technology and Applications,It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend,Some Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,No,No,No,No,No,No,4,"CyberSecurity, Game Design",Man,Multi-Racial,19-20,,,,
9/21/2020 16:02:26,CMP 135 Computer Concepts with Applications,It’s a required class for the degree I’m seeking,No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Web site, Family member or friend",Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Radiography,No,Don't recall,No,Yes,No,No,1,,Woman,White/Caucasian,21-24,,,,
9/21/2020 18:16:28,CMP 135 Computer Concepts with Applications,"It’s a required class for the degree I’m seeking, Professional Development",Yes,No,No,Yes,No,Yes,Some Impact,N/A,N/A,N/A,N/A,N/A,Some Impact,High Impact,Some Impact,Some Impact,High Impact,"Web site, Current student",High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Radiography,No,No,Yes,Yes,No,No,3,"Machine Learning/Artificial Intelligence, Computer Programming",Woman,White/Caucasian,21-24,,,,
9/21/2020 19:07:02,CMP 126 Computer Technology and Applications,It’s a required class for the degree I’m seeking,Yes,No,Not Sure,No,No,No,Some Impact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Web site, Billboard, Family member or friend",High Impact,High Impact,High Impact,N/A,High Impact,N/A,N/A,N/A,N/A,High Impact,High Impact,"Early Childhood Education, Child and Family Studies",Don't recall,Don't recall,No,No,Don't recall,Don't recall,4,Machine Learning/Artificial Intelligence,Woman,Hispanic or Latino,21-24,,,,
9/21/2020 19:18:00,CMP 135 Computer Concepts with Applications,"It’s a required class for the degree I’m seeking, Career Advancement",No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Family member or friend, Current student, Alumni, High School",Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Public Health,No,No,No,Yes,No,No,2,Game Design,Woman,"Asian, White/Caucasian",19-20,,,,
